LT Foods,Unnamed: 1,2014,2015,2016,2017,2018,2019,2020,2021,2022,TTM,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17
Gross Sales,,2474.0,2735.0,2973.0,3245.0,3614.0,3890.0,4135.0,4742.0,5427.0,,,,,,,
Operating Expenses ,,2211.0,2471.0,2617.0,2887.0,3236.0,3493.0,3664.0,4175.0,4831.0,5984,,,,,,
Increase/Decrease in Stock,,-152.34,-32.89,28.44,-213.22,-153.32,-34.57,97.37,-446.65,48.36,-200.17,,,,Company,SG&A as % of Rev. p.p change FY17-22,SG&A as a % of Revenue FY22
Raw Material,,1932.0,2031.0,2003.0,2500.0,2670.0,2831.0,2778.0,3488.0,3421.0,4183,,,,LT Foods,0.05600336160889326,0.14188317670904735
Other Manufacturing Expenses,,93.18,95.18,116.0,170.0,206.0,203.0,182.0,235.0,259.0,—,,,,KRBL,0.020459171341953374,0.06214913322251246
Employee Cost,,58.97,69.74,86.37,117.0,135.0,152.0,199.0,264.0,290.0,341,,,,Kohinoor,0.029454102919808572,0.11616110378411282
Selling and Distribution Expenses,,153.0,176.0,255.0,191.0,227.0,171.0,197.0,387.0,566.0,—,,,,Adani Wilmar,-0.014322413022370473,0.03421625410410595
Power & Fuel Cost,,23.69,28.58,33.22,30.32,31.81,36.23,39.15,44.46,31.04,—,,,,Nestle,-0.024608261478711868,0.15701012013966975
General and Administration Expenses,,60.19,57.49,83.02,87.68,106.0,123.0,156.0,182.0,204.0,—,,,,Britannia,-0.017072874017918516,0.08399405772495755
Miscellaneous Expenses,,42.31,45.01,11.5,4.29,13.19,11.74,16.84,20.43,12.18,—,,,,HUL,-0.041475360449150706,0.1395149296419174
SG&A,,0.08617219078415521,0.08537111517367459,0.11369660275815674,0.08587981510015409,0.09214167127836193,0.07557840616966581,0.08536880290205562,0.11999156474061577,0.14188317670904735,596.97,,,,ITC,-0.017088714098480576,0.07691039757367969
EBP,,0.02383589329021827,0.02549908592321755,0.02905146316851665,0.03605546995377504,0.037354731599335916,0.0390745501285347,0.04812575574365175,0.05567271193589203,0.05343652109821264,,,,,Marico,-0.06074683841488285,0.13425147182506308
KRBL,,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0,TTM,,,,Dabur,-0.01680129524417695,0.1355496372485995
Gross Sales,,2910.0,3197.0,3363.0,3148.0,3246.0,4120.0,4499.0,3992.0,4211.0,,,,,,,
Operating Expenses ,,2470.0,2671.0,2916.0,2504.0,2472.0,3271.0,3629.0,3170.0,3549.0,4113,,,,,,
Increase/Decrease in Stock,,69.57,-103.19,-106.29,-259.38,-98.41,-281.06,176.0,-393.0,99.42,-363.1,,,,,,
Raw Material,,2193.0,2504.0,2748.0,2489.0,2109.0,2991.0,2883.0,2991.0,2781.0,3850,,,,,,
Other Manufacturing Expenses,,31.9,41.99,49.64,56.62,223.0,255.0,241.0,238.0,265.0,—,,,,,,
Employee Cost,,41.96,47.76,63.02,71.54,69.18,77.02,85.62,92.21,104.0,118,,,,,,
Selling and Distribution Expenses,,102.0,144.0,123.0,104.0,112.0,144.0,172.0,165.0,216.0,—,,,,,,
Power & Fuel Cost,,10.04,8.12,6.48,10.22,9.63,17.71,22.13,18.19,18.0,—,,,,,,
General and Administration Expenses,,20.12,24.35,27.71,27.24,40.19,41.24,39.17,37.19,45.71,—,,,,,,
Miscellaneous Expenses,,1.89,3.68,4.91,4.83,7.54,26.04,10.67,21.64,19.73,—,,,,,,
SG&A,,0.041965635738831615,0.05265874257116046,0.04481415402914065,0.04168996188055909,0.04688539741219963,0.044961165048543694,0.04693709713269616,0.05064879759519038,0.06214913322251246,,,,,,,
EBP,,0.014419243986254295,0.014939005317485142,0.018739220933690157,0.022725540025412962,0.021312384473197783,0.01869417475728155,0.019030895754612136,0.023098697394789577,0.02469722156257421,,,,,,,
Kohinoor,,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0,TTM,,,,,,
Gross Sales,,1420.0,1335.0,1300.0,1157.0,1019.0,601.0,215.0,266.0,98.57,,,,,,,
Operating Expenses ,,1273.0,1335.0,1183.0,1216.0,997.0,788.0,216.0,239.0,100.0,99.17,,,,,,
Increase/Decrease in Stock,,19.03,16.96,28.93,-32.85,37.72,0.07,-0.76,0.07,0.69,0.04,,,,,,
Raw Material,,1020.0,1105.0,949.0,1028.0,780.0,655.0,144.0,187.0,64.42,40.05,,,,,,
Other Manufacturing Expenses,,63.67,57.72,54.58,52.49,55.49,34.45,28.89,13.87,12.91,—,,,,,,
Employee Cost,,24.41,25.56,31.89,28.8,29.47,21.22,17.13,15.1,5.94,6.14,,,,,,
Selling and Distribution Expenses,,88.68,83.34,65.78,68.87,54.18,9.15,7.77,1.79,8.18,—,,,,,,
Power & Fuel Cost,,9.31,11.72,10.74,8.69,6.38,3.9,3.01,4.28,2.0,—,,,,,,
General and Administration Expenses,,34.22,28.49,28.3,31.45,25.16,18.93,14.13,15.88,3.27,—,,,,,,
Miscellaneous Expenses,,12.89,6.42,13.48,29.6,8.58,45.27,1.27,1.44,2.98,—,,,,,,
SG&A,,0.08654929577464789,0.08376779026217228,0.07236923076923077,0.08670700086430425,0.07786064769381747,0.04672212978369384,0.10186046511627907,0.06642857142857143,0.11616110378411282,,,,,,,
EBP,,0.017190140845070423,0.019146067415730335,0.02453076923076923,0.024891961970613656,0.028920510304219823,0.03530782029950083,0.07967441860465116,0.056766917293233084,0.0602617429238105,,,,,,,
Adani Wilmar,,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0,TTM,,,,,,
Gross Sales,,17320.0,17266.0,19035.0,23198.0,26472.0,28797.0,29657.0,37090.0,54214.0,,,,,,,
Operating Expenses ,,17124.0,16887.0,18518.0,22545.0,25544.0,27697.0,28348.0,35765.0,52477.0,56531,,,,,,
Increase/Decrease in Stock,,-101.88,-172.66,-468.08,-294.37,-217.03,35.3,470.0,-945.1,-1756.86,1239,,,,,,
Raw Material,,15015.0,14659.0,16382.0,20021.0,23268.0,25101.0,24900.0,32464.0,49224.0,48213,,,,,,
Other Manufacturing Expenses,,787.0,965.0,1071.0,1254.0,370.0,477.0,585.0,1592.0,2122.0,—,,,,,,
Employee Cost,,104.0,141.0,167.0,179.0,256.0,207.0,224.0,322.0,392.0,394,,,,,,
Selling and Distribution Expenses,,695.0,769.0,930.0,980.0,1224.0,1191.0,1260.0,1351.0,1640.0,—,,,,,,
Power & Fuel Cost,,248.0,264.0,254.0,251.0,307.0,352.0,367.0,397.0,516.0,—,,,,,,
General and Administration Expenses,,79.78,97.94,121.0,146.0,164.0,194.0,353.0,563.0,215.0,—,,,,,,
Miscellaneous Expenses,,297.0,164.0,61.35,7.32,172.0,141.0,187.0,22.09,126.0,—,,,,,,
SG&A,,0.04473325635103926,0.05021081895053863,0.055214079327554504,0.04853866712647642,0.05243275914173466,0.048095287703580236,0.05438850861516674,0.05160420598544082,0.03421625410410595,,,,,,,
EBP,,0.006004618937644342,0.008166338468666745,0.00877331231941161,0.007716182429519786,0.00967059534602599,0.007188248775914158,0.007553022895100651,0.008681585332973847,0.007230604640867672,,,,,,,
Nestle,,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0,TTM,,,,,,
Gross Sales,,9855.0,8175.0,9141.0,10010.0,11292.0,12369.0,13350.0,14741.0,16897.0,,,,,,,
Operating Expenses ,,7815.0,6620.0,7292.0,7913.0,8676.0,9445.0,10153.0,11178.0,13191.0,13816,,,,,,
Raw Material ,,3724.0,2811.0,3112.0,3522.0,3599.0,4303.0,4713.0,5040.0,6312.0,7989,,,,,,
Increase/Decrease in Stock,,-67.43,11.97,-7.66,-79.56,-6.01,-144.19,-69.33,-67.59,-250.27,-152.57,,,,,,
Other Manufacturing Expenses,,991.0,755.0,872.0,920.0,971.0,1049.0,1064.0,1376.0,1633.0,—,,,,,,
Employee Cost,,837.0,913.0,902.0,1017.0,1124.0,1258.0,1501.0,1530.0,1635.0,1687,,,,,,
Selling and Distribution Expenses,,925.0,912.0,963.0,1011.0,1285.0,1364.0,1371.0,1507.0,1524.0,—,,,,,,
Power & Fuel Cost,,384.0,222.0,233.0,288.0,344.0,341.0,314.0,408.0,573.0,—,,,,,,
General and Administration Expenses,,745.0,683.0,783.0,807.0,855.0,858.0,870.0,940.0,1129.0,—,,,,,,
Miscellaneous Expenses,,167.0,215.0,320.0,252.0,273.0,199.0,201.0,183.0,286.0,—,,,,,,
SG&A,,0.16945712836123794,0.19510703363914372,0.19100754840827042,0.18161838161838162,0.18951470067304285,0.17964265502465843,0.16786516853932584,0.1659995929719829,0.15701012013966975,,,,,,,
EBP,,0.08493150684931507,0.11168195718654435,0.098676293622142,0.1015984015984016,0.09953949698901877,0.10170587759721886,0.11243445692883895,0.10379214435927006,0.0967627389477422,,,,,,,
Britannia,,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0,TTM,,,,,,
Gross Sales,,6913.0,7858.0,8397.0,9054.0,9914.0,11055.0,11600.0,13136.0,14136.0,,,,,,,
Operating Expenses ,,6286.0,6995.0,7183.0,7776.0,8412.0,9321.0,9756.0,10627.0,11935.0,13470,,,,,,
Increase/Decrease in Stock,,-11.51,-30.4,-4.27,-54.2,6.3,-55.18,52.57,-37.12,-75.26,-72.53,,,,,,
Raw Material,,4183.0,4722.0,5017.0,5643.0,6101.0,6617.0,6875.0,7663.0,8836.0,8327,,,,,,
Other Manufacturing Expenses,,510.0,556.0,510.0,510.0,488.0,621.0,611.0,672.0,752.0,—,,,,,,
Employee Cost,,263.0,281.0,341.0,353.0,402.0,442.0,487.0,527.0,542.0,658,,,,,,
Selling and Distribution Expenses,,991.0,1079.0,873.0,831.0,898.0,1054.0,1076.0,1107.0,1130.0,—,,,,,,
Power & Fuel Cost,,111.0,111.0,95.16,104.0,129.0,175.0,178.0,182.0,218.0,—,,,,,,
General and Administration Expenses,,39.69,42.49,72.36,84.06,55.78,53.28,49.72,56.55,57.34,—,,,,,,
Miscellaneous Expenses,,200.0,234.0,278.0,305.0,334.0,414.0,429.0,455.0,475.0,—,,,,,,
SG&A,,0.14909445971358312,0.14271952150674472,0.11258306538049304,0.10106693174287606,0.09620536614888037,0.100161013116237,0.0970448275862069,0.08857719244823385,0.08399405772495755,,,,,,,
EBP,,0.03804426442933603,0.03575973530160346,0.0406097415743718,0.038988292467417716,0.040548718983256,0.03998190863862506,0.041982758620689654,0.04011875761266748,0.038341822297679684,,,,,,,
HUL,,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0,TTM,,,,,,
Gross Sales,,29234.0,31972.0,32186.0,33162.0,35545.0,39310.0,39783.0,47028.0,52446.0,,,,,,,
Operating Expenses ,,24509.0,26562.0,26169.0,26822.0,28046.0,30430.0,29922.0,35402.0,39589.0,46431,,,,,,
Increase/Decrease in Stock,,-171.3,57.04,83.0,144.0,-72.0,12.0,-108.0,-405.0,-22.0,-75,,,,,,
Raw Material,,12645.0,13509.0,13184.0,13606.0,14233.0,15845.0,15697.0,20141.0,22871.0,20212,,,,,,
Other Manufacturing Expenses,,3483.0,3916.0,3870.0,3578.0,3649.0,3731.0,3824.0,3622.0,4206.0,—,,,,,,
Employee Cost,,1573.0,1724.0,1680.0,1743.0,1860.0,1875.0,1820.0,2358.0,2545.0,2854,,,,,,
Selling and Distribution Expenses,,5029.0,5404.0,5178.0,5058.0,5700.0,6206.0,6220.0,6497.0,6618.0,—,,,,,,
Power & Fuel Cost,,363.0,347.0,309.0,295.0,295.0,308.0,110.0,339.0,318.0,—,,,,,,
General and Administration Expenses,,549.0,530.0,567.0,944.0,905.0,904.0,675.0,652.0,699.0,—,,,,,,
Miscellaneous Expenses,,1038.0,1075.0,1298.0,1454.0,1476.0,1549.0,1684.0,2198.0,2354.0,—,,,,,,
SG&A,,0.19080522679072312,0.18559989991242337,0.17849375504877898,0.1809902900910681,0.1858207905471937,0.1808700076316459,0.1733152351506925,0.15201582036233732,0.1395149296419174,,,,,,,
ITC,,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0,TTM,,,,,,
Gross Sales,,35317.0,38835.0,39192.0,42777.0,43449.0,48353.0,49404.0,49273.0,60668.0,,,,,,,
Operating Expenses ,,22242.0,24692.0,24722.0,27316.0,26946.0,29927.0,30120.0,32258.0,40045.0,50574,,,,,,
Increase/Decrease in Stock,,-112.74,-235.72,-195.38,593.0,1028.0,-203.19,-703.13,-645.27,-686.0,-102.57,,,,,,
Raw Material,,13353.0,15008.0,13764.0,15457.0,14828.0,17624.0,18049.0,20777.0,27071.0,19352,,,,,,
Other Manufacturing Expenses,,1497.0,1669.0,1722.0,1849.0,1877.0,2047.0,2098.0,1751.0,2082.0,—,,,,,,
Employee Cost,,2504.0,2772.0,3441.0,3632.0,3761.0,4178.0,4296.0,4463.0,4891.0,5561,,,,,,
Selling and Distribution Expenses,,1951.0,2039.0,2170.0,2086.0,2164.0,2564.0,2626.0,2794.0,3157.0,—,,,,,,
Power & Fuel Cost,,645.0,611.0,572.0,584.0,654.0,747.0,781.0,700.0,890.0,—,,,,,,
General and Administration Expenses,,1314.0,1707.0,1957.0,1935.0,1619.0,1797.0,1675.0,1280.0,1509.0,—,,,,,,
Miscellaneous Expenses,,1091.0,1123.0,1291.0,1180.0,1016.0,1175.0,1298.0,1139.0,1132.0,—,,,,,,
SG&A,,0.09244839595662145,0.09645937942577572,0.10530210246989181,0.09399911167216027,0.0870675964924394,0.09019088784563523,0.08705772811918064,0.08268219917601932,0.07691039757367969,,,,,,,
Marico,,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0,TTM,,,,,,
Gross Sales,,4687.0,5733.0,6017.0,5918.0,6322.0,7334.0,7315.0,8048.0,9512.0,,,,,,,
Operating Expenses ,,3939.0,4863.0,4966.0,4759.0,5186.0,6008.0,5849.0,6460.0,7834.0,7954,,,,,,
Increase/Decrease in Stock,,45.21,-109.53,60.1,-56.67,-220.0,-123.0,140.0,47.0,-116.0,161,,,,,,
Raw Material,,1880.0,2722.0,2537.0,2430.0,3128.0,3627.0,3072.0,3756.0,4992.0,4649,,,,,,
Other Manufacturing Expenses,,702.0,766.0,741.0,733.0,770.0,869.0,899.0,822.0,930.0,—,,,,,,
Employee Cost,,285.0,325.0,373.0,404.0,422.0,466.0,478.0,570.0,586.0,653,,,,,,
Selling and Distribution Expenses,,763.0,874.0,928.0,890.0,827.0,946.0,1025.0,1003.0,1150.0,—,,,,,,
Power & Fuel Cost,,33.01,31.7,31.06,29.32,34.0,37.0,36.0,27.0,32.0,—,,,,,,
General and Administration Expenses,,197.0,212.0,209.0,264.0,151.0,105.0,115.0,106.0,127.0,—,,,,,,
Miscellaneous Expenses,,34.6,41.64,86.37,65.59,74.0,81.0,84.0,129.0,133.0,—,,,,,,
SG&A,,0.2048218476637508,0.18942961800104657,0.1889646002991524,0.19499831023994593,0.15469788041758936,0.14330515407690209,0.15584415584415584,0.13779821073558648,0.13425147182506308,,,,,,,
EBP,,0.06080648602517602,0.05668934240362812,0.06199102542795413,0.0682663061845218,0.06675102815564694,0.06353967821107172,0.06534518113465482,0.07082504970178927,0.06160639192598823,,,,,,,
Dabur,,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0,TTM,,,,,,
Gross Sales,,7075.0,7827.0,7780.0,7614.0,7722.0,8515.0,8685.0,9562.0,10889.0,,,,,,,
Operating Expenses ,,5915.0,6511.0,6261.0,6106.0,6107.0,6778.0,6895.0,7562.0,8638.0,9366,,,,,,
Increase/Decrease in Stock,,-43.69,-25.62,-70.53,-23.02,-65.93,12.64,-65.04,-207.2,-8.55,-90.79,,,,,,
Raw Material,,2413.0,2634.0,2740.0,2657.0,2774.0,3066.0,3137.0,3762.0,4135.0,5307,,,,,,
Other Manufacturing Expenses,,1123.0,1210.0,1180.0,1292.0,1249.0,1363.0,1424.0,1388.0,1695.0,—,,,,,,
Employee Cost,,588.0,669.0,770.0,762.0,778.0,922.0,930.0,1015.0,1060.0,1137,,,,,,
Selling and Distribution Expenses,,1263.0,1380.0,995.0,899.0,842.0,871.0,950.0,1119.0,1192.0,—,,,,,,
Power & Fuel Cost,,80.47,90.35,84.0,85.79,92.07,104.0,105.0,102.0,127.0,—,,,,,,
General and Administration Expenses,,471.0,509.0,540.0,261.0,291.0,308.0,271.0,262.0,284.0,—,,,,,,
Miscellaneous Expenses,,20.32,44.45,23.64,174.0,147.0,133.0,142.0,121.0,154.0,—,,,,,,
SG&A,,0.24508833922261483,0.24134406541459053,0.19730077120822623,0.15235093249277645,0.1467236467236467,0.13846153846153847,0.14058721934369603,0.14442585233214808,0.1355496372485995,,,,,,,
EBP,,0.08310954063604241,0.0854733614411652,0.09897172236503857,0.10007880220646179,0.10075110075110075,0.10827950675278919,0.1070811744386874,0.1061493411420205,0.09734594544953623,,,,,,,
